fare,survived
0.0,0.11764705882352941
3.1708,1.0
4.0125,0.0
5.0,0.0
6.2375,0.0
6.4375,0.0
6.45,0.0
6.4958,0.0
6.75,0.0
6.8583,0.0
6.95,0.5
6.975,0.5
7.0,0.5
7.0458,0.0
7.05,0.1111111111111111
7.0542,0.0
7.125,0.0
7.1417,1.0
7.225,0.25
7.2292,0.2916666666666667
7.25,0.058823529411764705
7.2833,0.0
7.3125,0.0
7.4958,0.3333333333333333
7.5208,0.0
7.55,0.3333333333333333
7.575,0.0
7.5792,1.0
7.6292,0.0
7.65,0.5
7.7208,1.0
7.725,0.5
7.7292,0.0
7.7333,0.42857142857142855
7.7375,0.5
7.7417,0.0
7.75,0.3090909090909091
7.775,0.2692307692307692
7.7792,1.0
7.7875,1.0
7.7958,0.5
7.8,0.0
7.8208,1.0
7.8292,0.3333333333333333
7.85,0.0
7.8542,0.19047619047619047
7.875,0.0
7.8792,0.4
7.8875,0.5
7.8958,0.02040816326530612
7.925,0.391304347826087
8.0292,1.0
8.05,0.15789473684210525
8.1125,0.5
8.1375,0.0
8.1583,0.0
8.3,0.0
8.3625,0.0
8.4042,0.0
8.4333,0.0
8.4583,0.0
8.5167,1.0
8.6542,0.0
8.6625,0.047619047619047616
8.6833,1.0
8.7125,0.0
8.85,0.0
8.9625,1.0
9.0,0.0
9.2167,0.0
9.225,0.3333333333333333
9.325,0.0
9.35,0.6666666666666666
9.475,0.0
9.4833,0.0
9.5,0.25
9.5875,0.5
9.6875,0.0
9.825,0.0
9.8375,0.0
9.8417,1.0
9.8458,0.0
10.1708,0.0
10.4625,0.0
10.5,0.34285714285714286
10.5167,0.0
10.7083,0.0
11.1333,1.0
11.2417,1.0
11.5,0.0
12.0,1.0
12.1833,0.0
12.275,0.0
12.2875,1.0
12.35,0.4
12.475,1.0
12.525,0.0
12.65,1.0
12.7375,1.0
12.875,0.0
13.0,0.288135593220339
13.4167,1.0
13.5,0.2857142857142857
13.775,0.0
13.7917,1.0
13.8583,1.0
13.8625,1.0
13.9,0.5
14.0,0.0
14.1083,0.5
14.4,0.0
14.4542,0.1111111111111111
14.4583,0.0
14.5,0.18181818181818182
15.0,0.0
15.0333,0.0
15.0458,0.0
15.05,0.0
15.1,0.0
15.2458,0.6666666666666666
15.5,0.4
15.55,0.0
15.5792,0.0
15.7417,1.0
15.75,1.0
15.85,0.5
15.9,1.0
16.0,0.5
16.1,0.25
16.7,1.0
17.4,1.0
17.8,0.0
18.0,0.0
18.75,1.0
18.7875,0.5
19.2583,1.0
19.5,1.0
19.9667,0.0
20.2125,0.0
20.25,0.0
20.525,0.6666666666666666
20.575,0.6666666666666666
21.0,0.35714285714285715
21.075,0.0
21.6792,0.0
22.025,1.0
22.3583,1.0
22.525,0.0
23.0,1.0
23.25,1.0
23.45,0.0
24.0,0.5
24.15,0.1111111111111111
25.4667,0.0
25.5875,0.0
25.7,1.0
25.7417,1.0
25.925,0.0
25.9292,1.0
26.0,0.38
26.25,0.6666666666666666
26.2833,1.0
26.2875,1.0
26.3875,1.0
26.55,0.45454545454545453
27.0,0.5
27.4458,1.0
27.7208,0.5454545454545454
27.75,0.6
27.9,0.0
28.5,0.5
28.5375,1.0
28.7125,0.0
29.0,1.0
29.125,0.0
29.7,0.4
30.0,0.8571428571428571
30.0708,0.5
30.5,0.6666666666666666
30.6958,0.0
31.0,0.6666666666666666
31.275,0.0
31.3875,0.42857142857142855
31.5,0.0
31.6792,0.0
31.6833,1.0
32.3208,0.0
32.5,0.6666666666666666
33.0,0.5
33.5,0.0
34.0208,0.0
34.375,0.0
34.6542,0.0
35.0,0.0
35.5,0.75
36.75,0.75
37.0042,0.6666666666666666
38.5,0.0
39.0,0.8571428571428571
39.4,1.0
39.6,0.6666666666666666
39.6875,0.0
40.125,0.0
41.5792,0.75
42.4,0.0
42.5,0.0
45.5,0.0
46.9,0.0
47.1,0.0
49.5,1.0
49.5042,0.5
50.0,0.0
50.4958,0.0
51.4792,1.0
51.8625,0.25
52.0,0.5
52.5542,1.0
53.1,0.6666666666666666
55.0,1.0
55.4417,1.0
55.9,0.5
56.4958,0.75
56.9292,1.0
57.0,1.0
57.75,1.0
57.9792,1.0
59.4,0.75
60.0,0.5
61.175,0.5
61.3792,0.5
61.9792,0.5
63.3583,1.0
65.0,0.6
66.6,0.5
69.3,1.0
69.55,0.0
71.0,0.5
71.2833,0.5
73.5,0.0
75.2417,0.0
75.25,0.5
76.2917,1.0
76.7292,1.0
77.2875,0.0
77.9583,1.0
78.2667,1.0
78.85,0.6666666666666666
79.2,0.5
79.65,0.6666666666666666
80.0,1.0
81.8583,1.0
82.1708,0.5
82.2667,1.0
83.1583,0.8333333333333334
83.475,0.5
86.5,1.0
89.1042,1.0
90.0,0.8
91.0792,1.0
93.5,0.5
106.425,0.6666666666666666
108.9,0.6666666666666666
110.8833,0.75
113.275,0.6666666666666666
120.0,1.0
133.65,1.0
134.5,1.0
135.6333,0.75
136.7792,0.5
146.5208,0.6666666666666666
151.55,0.5
153.4625,0.6666666666666666
164.8667,0.75
211.3375,1.0
211.5,0.4
221.7792,0.25
227.525,0.6
247.5208,0.6666666666666666
262.375,0.8571428571428571
263.0,0.6666666666666666
512.3292,1.0
